event,gender,age_group,min_age,max_age,value,points
Standing Power Throw,Female,17-21,17,21,5.4,74
Standing Power Throw,Male,22-26,22,26,9.1,74
Standing Power Throw,Female,22-26,22,26,5.5,74
Standing Power Throw,Male,27-31,27,31,9.3,74
Standing Power Throw,Female,27-31,27,31,5.6,74
Standing Power Throw,Male,32-36,32,36,9.2,74
Standing Power Throw,Female,32-36,32,36,5.6,74
Standing Power Throw,Male,37-41,37,41,9.0,74
Standing Power Throw,Female,37-41,37,41,5.4,74
Standing Power Throw,Male,42-46,42,46,8.7,74
Standing Power Throw,Female,42-46,42,46,5.3,74
Standing Power Throw,Male,47-51,47,51,8.2,74
Standing Power Throw,Female,47-51,47,51,5.1,74
Standing Power Throw,Male,52-56,52,56,7.7,74
Standing Power Throw,Female,52-56,52,56,4.9,74
Standing Power Throw,Male,57-61,57,61,7.2,74
Standing Power Throw,Female,57-61,57,61,4.9,74
Standing Power Throw,Male,Over 62,62,100,7.1,74
Standing Power Throw,Female,Over 62,62,100,4.9,74
Standing Power Throw,Male,17-21,17,21,8.5,73
Standing Power Throw,Female,17-21,17,21,5.4,73
Standing Power Throw,Male,22-26,22,26,9.0,73
Standing Power Throw,Female,22-26,22,26,5.5,73
Standing Power Throw,Male,27-31,27,31,9.2,73
Standing Power Throw,Female,27-31,27,31,5.6,73
Standing Power Throw,Male,32-36,32,36,9.1,73
Standing Power Throw,Female,32-36,32,36,5.5,73
Standing Power Throw,Male,37-41,37,41,8.9,73
Standing Power Throw,Female,37-41,37,41,5.3,73
Standing Power Throw,Male,42-46,42,46,8.6,73
Standing Power Throw,Female,42-46,42,46,5.3,73
Standing Power Throw,Male,47-51,47,51,8.2,73
Standing Power Throw,Female,47-51,47,51,5.0,73
Standing Power Throw,Male,52-56,52,56,7.6,73
Standing Power Throw,Female,52-56,52,56,4.8,73
Standing Power Throw,Male,57-61,57,61,7.1,73
Standing Power Throw,Female,57-61,57,61,4.9,73
Standing Power Throw,Male,Over 62,62,100,7.0,73
Standing Power Throw,Female,Over 62,62,100,4.8,73
Standing Power Throw,Male,17-21,17,21,8.4,72
Standing Power Throw,Female,17-21,17,21,5.3,72
Standing Power Throw,Male,22-26,22,26,8.9,72
Standing Power Throw,Female,22-26,22,26,5.4,72
Standing Power Throw,Male,27-31,27,31,9.0,72
Standing Power Throw,Female,27-31,27,31,5.5,72
Standing Power Throw,Male,32-36,32,36,8.9,72
Standing Power Throw,Female,32-36,32,36,5.5,72
Standing Power Throw,Male,37-41,37,41,8.8,72
Standing Power Throw,Female,37-41,37,41,5.2,72
Standing Power Throw,Male,42-46,42,46,8.4,72
Standing Power Throw,Female,42-46,42,46,5.2,72
Standing Power Throw,Male,47-51,47,51,8.1,72
Standing Power Throw,Female,47-51,47,51,5.0,72
Standing Power Throw,Male,52-56,52,56,7.5,72
Standing Power Throw,Female,52-56,52,56,4.7,72
Standing Power Throw,Male,57-61,57,61,7.0,72
Standing Power Throw,Female,57-61,57,61,4.8,72
Standing Power Throw,Male,Over 62,62,100,6.8,72
Standing Power Throw,Female,Over 62,62,100,4.7,72
Standing Power Throw,Male,17-21,17,21,8.3,71
Standing Power Throw,Female,17-21,17,21,5.2,71
Standing Power Throw,Male,22-26,22,26,8.8,71
Standing Power Throw,Female,22-26,22,26,5.3,71
Standing Power Throw,Male,27-31,27,31,8.9,71
Standing Power Throw,Female,27-31,27,31,5.4,71
Standing Power Throw,Male,32-36,32,36,8.8,71
Standing Power Throw,Female,32-36,32,36,5.4,71
Standing Power Throw,Male,37-41,37,41,8.7,71
Standing Power Throw,Female,37-41,37,41,5.2,71
Standing Power Throw,Male,42-46,42,46,8.3,71
Standing Power Throw,Female,42-46,42,46,5.2,71
Standing Power Throw,Male,47-51,47,51,8.0,71
Standing Power Throw,Female,47-51,47,51,4.9,71
Standing Power Throw,Male,52-56,52,56,7.4,71
Standing Power Throw,Female,52-56,52,56,4.7,71
Standing Power Throw,Male,57-61,57,61,7.0,71
Standing Power Throw,Female,57-61,57,61,4.6,71
Standing Power Throw,Male,Over 62,62,100,6.7,71
Standing Power Throw,Female,Over 62,62,100,4.6,71
Standing Power Throw,Male,17-21,17,21,8.2,70
Standing Power Throw,Female,17-21,17,21,5.2,70
Standing Power Throw,Male,22-26,22,26,8.6,70
Standing Power Throw,Female,22-26,22,26,5.3,70
Standing Power Throw,Male,27-31,27,31,8.8,70
Standing Power Throw,Female,27-31,27,31,5.3,70
Standing Power Throw,Male,32-36,32,36,8.7,70
Standing Power Throw,Female,32-36,32,36,5.3,70
Standing Power Throw,Male,37-41,37,41,8.6,70
Standing Power Throw,Female,37-41,37,41,5.2,70
Standing Power Throw,Male,42-46,42,46,8.2,70
Standing Power Throw,Female,42-46,42,46,5.1,70
Standing Power Throw,Male,47-51,47,51,7.9,70
Standing Power Throw,Female,47-51,47,51,4.9,70
Standing Power Throw,Male,52-56,52,56,7.3,70
Standing Power Throw,Female,52-56,52,56,4.6,70
Standing Power Throw,Male,57-61,57,61,6.9,70
Standing Power Throw,Female,57-61,57,61,4.6,70
Standing Power Throw,Male,Over 62,62,100,6.6,70
Standing Power Throw,Female,Over 62,62,100,4.6,70
Standing Power Throw,Male,17-21,17,21,8.1,69
Standing Power Throw,Female,17-21,17,21,5.1,69
Standing Power Throw,Male,22-26,22,26,8.5,69
Standing Power Throw,Female,22-26,22,26,5.2,69
Standing Power Throw,Male,27-31,27,31,8.6,69
Standing Power Throw,Female,27-31,27,31,5.3,69
Standing Power Throw,Male,32-36,32,36,8.6,69
Standing Power Throw,Female,32-36,32,36,5.3,69
Standing Power Throw,Male,37-41,37,41,8.5,69
Standing Power Throw,Female,37-41,37,41,5.1,69
Standing Power Throw,Male,42-46,42,46,8.1,69
Standing Power Throw,Female,42-46,42,46,5.1,69
Standing Power Throw,Male,47-51,47,51,7.7,69
Standing Power Throw,Female,47-51,47,51,4.8,69
Standing Power Throw,Male,52-56,52,56,7.1,69
Standing Power Throw,Female,52-56,52,56,4.6,69
Standing Power Throw,Male,57-61,57,61,6.8,69
Standing Power Throw,Female,57-61,57,61,4.5,69
Standing Power Throw,Male,Over 62,62,100,6.4,69
Standing Power Throw,Female,Over 62,62,100,4.5,69
Standing Power Throw,Male,17-21,17,21,8.0,68
Standing Power Throw,Female,17-21,17,21,5.0,68
Standing Power Throw,Male,22-26,22,26,8.3,68
Standing Power Throw,Female,22-26,22,26,5.2,68
Standing Power Throw,Male,27-31,27,31,8.5,68
Standing Power Throw,Female,27-31,27,31,5.2,68
Standing Power Throw,Male,32-36,32,36,8.5,68
Standing Power Throw,Female,32-36,32,36,5.2,68
Standing Power Throw,Male,37-41,37,41,8.3,68
Standing Power Throw,Female,37-41,37,41,5.0,68
Standing Power Throw,Male,42-46,42,46,8.0,68
Standing Power Throw,Female,42-46,42,46,5.0,68
Standing Power Throw,Male,47-51,47,51,7.6,68
Standing Power Throw,Female,47-51,47,51,4.7,68
Standing Power Throw,Male,52-56,52,56,7.0,68
Standing Power Throw,Female,52-56,52,56,4.5,68
Standing Power Throw,Male,57-61,57,61,6.7,68
Standing Power Throw,Female,57-61,57,61,4.4,68
Standing Power Throw,Male,Over 62,62,100,6.2,68
Standing Power Throw,Female,Over 62,62,100,4.4,68
Standing Power Throw,Male,17-21,17,21,7.9,67
Standing Power Throw,Female,17-21,17,21,5.0,67
Standing Power Throw,Male,22-26,22,26,8.2,67
Standing Power Throw,Female,22-26,22,26,5.1,67
Standing Power Throw,Male,27-31,27,31,8.4,67
Standing Power Throw,Female,27-31,27,31,5.2,67
Standing Power Throw,Male,32-36,32,36,8.3,67
Standing Power Throw,Female,32-36,32,36,5.2,67
Standing Power Throw,Male,37-41,37,41,8.2,67
Standing Power Throw,Female,37-41,37,41,4.9,67
Standing Power Throw,Male,42-46,42,46,7.9,67
Standing Power Throw,Female,42-46,42,46,4.9,67
Standing Power Throw,Male,47-51,47,51,7.5,67
Standing Power Throw,Female,47-51,47,51,4.6,67
Standing Power Throw,Male,52-56,52,56,7.0,67
Standing Power Throw,Female,52-56,52,56,4.4,67
Standing Power Throw,Male,57-61,57,61,6.6,67
Standing Power Throw,Female,57-61,57,61,4.3,67
Standing Power Throw,Male,Over 62,62,100,6.2,67
Standing Power Throw,Female,Over 62,62,100,4.3,67
Standing Power Throw,Male,17-21,17,21,7.7,66
Standing Power Throw,Female,17-21,17,21,4.9,66
Standing Power Throw,Male,22-26,22,26,8.1,66
Standing Power Throw,Female,22-26,22,26,5.0,66
Standing Power Throw,Male,27-31,27,31,8.3,66
Standing Power Throw,Female,27-31,27,31,5.1,66
Standing Power Throw,Male,32-36,32,36,8.2,66
Standing Power Throw,Female,32-36,32,36,5.1,66
Standing Power Throw,Male,37-41,37,41,8.1,66
Standing Power Throw,Female,37-41,37,41,4.9,66
Standing Power Throw,Male,42-46,42,46,7.8,66
Standing Power Throw,Female,42-46,42,46,4.8,66
Standing Power Throw,Male,47-51,47,51,7.4,66
Standing Power Throw,Female,47-51,47,51,4.6,66
Standing Power Throw,Male,52-56,52,56,6.9,66
Standing Power Throw,Female,52-56,52,56,4.4,66
Standing Power Throw,Male,57-61,57,61,6.5,66
Standing Power Throw,Female,57-61,57,61,4.2,66
Standing Power Throw,Male,Over 62,62,100,6.1,66
Standing Power Throw,Female,Over 62,62,100,4.2,66
Standing Power Throw,Male,17-21,17,21,7.5,65
Standing Power Throw,Female,17-21,17,21,4.8,65
Standing Power Throw,Male,22-26,22,26,7.8,65
Standing Power Throw,Female,22-26,22,26,4.9,65
Standing Power Throw,Male,27-31,27,31,8.1,65
Standing Power Throw,Female,27-31,27,31,5.0,65
Standing Power Throw,Male,32-36,32,36,8.1,65
Standing Power Throw,Female,32-36,32,36,5.0,65
Standing Power Throw,Male,37-41,37,41,7.8,65
Standing Power Throw,Female,37-41,37,41,4.8,65
Standing Power Throw,Male,42-46,42,46,7.6,65
Standing Power Throw,Female,42-46,42,46,4.7,65
Standing Power Throw,Male,47-51,47,51,7.2,65
Standing Power Throw,Female,47-51,47,51,4.6,65
Standing Power Throw,Male,52-56,52,56,6.7,65
Standing Power Throw,Female,52-56,52,56,4.3,65
Standing Power Throw,Male,57-61,57,61,6.3,65
Standing Power Throw,Female,57-61,57,61,4.1,65
Standing Power Throw,Male,Over 62,62,100,6.1,65
Standing Power Throw,Female,Over 62,62,100,4.1,65
Standing Power Throw,Male,17-21,17,21,7.4,64
Standing Power Throw,Female,17-21,17,21,4.8,64
Standing Power Throw,Male,22-26,22,26,7.7,64
Standing Power Throw,Female,22-26,22,26,4.8,64
Standing Power Throw,Male,27-31,27,31,7.9,64
Standing Power Throw,Female,27-31,27,31,4.9,64
Standing Power Throw,Male,32-36,32,36,7.9,64
Standing Power Throw,Female,32-36,32,36,4.9,64
Standing Power Throw,Male,37-41,37,41,7.7,64
Standing Power Throw,Female,37-41,37,41,4.7,64
Standing Power Throw,Male,42-46,42,46,7.4,64
Standing Power Throw,Female,42-46,42,46,4.7,64
Standing Power Throw,Male,47-51,47,51,7.1,64
Standing Power Throw,Female,47-51,47,51,4.5,64
Standing Power Throw,Male,52-56,52,56,6.6,64
Standing Power Throw,Female,52-56,52,56,4.2,64
Standing Power Throw,Male,57-61,57,61,6.2,64
Standing Power Throw,Female,57-61,57,61,4.0,64
Standing Power Throw,Male,Over 62,62,100,5.9,64
Standing Power Throw,Female,Over 62,62,100,4.1,64
Standing Power Throw,Male,17-21,17,21,7.2,63
Standing Power Throw,Female,17-21,17,21,4.7,63
Standing Power Throw,Male,22-26,22,26,7.5,63
Standing Power Throw,Female,22-26,22,26,4.7,63
Standing Power Throw,Male,27-31,27,31,7.7,63
Standing Power Throw,Female,27-31,27,31,4.8,63
Standing Power Throw,Male,32-36,32,36,7.6,63
Standing Power Throw,Female,32-36,32,36,4.8,63
Standing Power Throw,Male,37-41,37,41,7.5,63
Standing Power Throw,Female,37-41,37,41,4.6,63
Standing Power Throw,Male,42-46,42,46,7.3,63
Standing Power Throw,Female,42-46,42,46,4.6,63
Standing Power Throw,Male,47-51,47,51,6.9,63
Standing Power Throw,Female,47-51,47,51,4.4,63
Standing Power Throw,Male,52-56,52,56,6.4,63
Standing Power Throw,Female,52-56,52,56,4.2,63
Standing Power Throw,Male,57-61,57,61,6.1,63
Standing Power Throw,Female,57-61,57,61,3.9,63
Standing Power Throw,Male,Over 62,62,100,5.7,63
Standing Power Throw,Female,Over 62,62,100,4.0,63
Standing Power Throw,Male,17-21,17,21,6.9,62
Standing Power Throw,Female,17-21,17,21,4.6,62
Standing Power Throw,Male,22-26,22,26,7.3,62
Standing Power Throw,Female,22-26,22,26,4.6,62
Standing Power Throw,Male,27-31,27,31,7.5,62
Standing Power Throw,Female,27-31,27,31,4.7,62
Standing Power Throw,Male,32-36,32,36,7.4,62
Standing Power Throw,Female,32-36,32,36,4.7,62
Standing Power Throw,Male,37-41,37,41,7.3,62
Standing Power Throw,Female,37-41,37,41,4.5,62
Standing Power Throw,Male,42-46,42,46,7.1,62
Standing Power Throw,Female,42-46,42,46,4.5,62
Standing Power Throw,Male,47-51,47,51,6.7,62
Standing Power Throw,Female,47-51,47,51,4.2,62
Standing Power Throw,Male,52-56,52,56,6.2,62
Standing Power Throw,Female,52-56,52,56,4.1,62
Standing Power Throw,Male,57-61,57,61,6.0,62
Standing Power Throw,Female,57-61,57,61,3.8,62
Standing Power Throw,Male,Over 62,62,100,5.4,62
Standing Power Throw,Female,Over 62,62,100,3.9,62
Standing Power Throw,Male,17-21,17,21,6.6,61
Standing Power Throw,Female,17-21,17,21,4.4,61
Standing Power Throw,Male,22-26,22,26,6.9,61
Standing Power Throw,Female,22-26,22,26,4.4,61
Standing Power Throw,Male,27-31,27,31,7.1,61
Standing Power Throw,Female,27-31,27,31,4.6,61
Standing Power Throw,Male,32-36,32,36,7.1,61
Standing Power Throw,Female,32-36,32,36,4.5,61
Standing Power Throw,Male,37-41,37,41,7.0,61
Standing Power Throw,Female,37-41,37,41,4.4,61
Standing Power Throw,Male,42-46,42,46,6.7,61
Standing Power Throw,Female,42-46,42,46,4.2,61
Standing Power Throw,Male,47-51,47,51,6.4,61
Standing Power Throw,Female,47-51,47,51,4.1,61
Standing Power Throw,Male,52-56,52,56,6.0,61
Standing Power Throw,Female,52-56,52,56,3.9,61
Standing Power Throw,Male,57-61,57,61,5.7,61
Standing Power Throw,Female,57-61,57,61,3.6,61
Standing Power Throw,Male,Over 62,62,100,5.1,61
Standing Power Throw,Female,Over 62,62,100,3.6,61
Standing Power Throw,Male,17-21,17,21,6.0,60
Standing Power Throw,Female,17-21,17,21,3.9,60
Standing Power Throw,Male,22-26,22,26,6.3,60
Standing Power Throw,Female,22-26,22,26,4.0,60
Standing Power Throw,Male,27-31,27,31,6.5,60
Standing Power Throw,Female,27-31,27,31,4.2,60
Standing Power Throw,Male,32-36,32,36,6.5,60
Standing Power Throw,Female,32-36,32,36,4.1,60
Standing Power Throw,Male,37-41,37,41,6.4,60
Standing Power Throw,Female,37-41,37,41,4.1,60
Standing Power Throw,Male,42-46,42,46,6.2,60
Standing Power Throw,Female,42-46,42,46,3.9,60
Standing Power Throw,Male,47-51,47,51,6.0,60
Standing Power Throw,Female,47-51,47,51,3.7,60
Standing Power Throw,Male,52-56,52,56,5.7,60
Standing Power Throw,Female,52-56,52,56,3.5,60
Standing Power Throw,Male,57-61,57,61,5.3,60
Standing Power Throw,Female,57-61,57,61,3.4,60
Standing Power Throw,Male,Over 62,62,100,4.9,60
Standing Power Throw,Female,Over 62,62,100,3.4,60
Standing Power Throw,Male,17-21,17,21,6.0,59
Standing Power Throw,Female,17-21,17,21,3.9,59
Standing Power Throw,Male,22-26,22,26,6.3,59
Standing Power Throw,Female,22-26,22,26,4.0,59
Standing Power Throw,Male,27-31,27,31,6.5,59
Standing Power Throw,Female,27-31,27,31,4.2,59
Standing Power Throw,Male,32-36,32,36,6.5,59
Standing Power Throw,Female,32-36,32,36,4.1,59
Standing Power Throw,Male,37-41,37,41,6.4,59
Standing Power Throw,Female,37-41,37,41,4.1,59
Standing Power Throw,Male,42-46,42,46,6.2,59
Standing Power Throw,Female,42-46,42,46,3.9,59
Standing Power Throw,Male,47-51,47,51,6.0,59
Standing Power Throw,Female,47-51,47,51,3.7,59
Standing Power Throw,Male,52-56,52,56,5.7,59
Standing Power Throw,Female,52-56,52,56,3.5,59
Standing Power Throw,Male,57-61,57,61,5.3,59
Standing Power Throw,Female,57-61,57,61,3.4,59
Standing Power Throw,Male,Over 62,62,100,4.9,59
Standing Power Throw,Female,Over 62,62,100,3.4,59
Standing Power Throw,Male,17-21,17,21,6.0,58
Standing Power Throw,Female,17-21,17,21,3.9,58
Standing Power Throw,Male,22-26,22,26,6.3,58
Standing Power Throw,Female,22-26,22,26,4.0,58
Standing Power Throw,Male,27-31,27,31,6.5,58
Standing Power Throw,Female,27-31,27,31,4.2,58
Standing Power Throw,Male,32-36,32,36,6.5,58
Standing Power Throw,Female,32-36,32,36,4.1,58
Standing Power Throw,Male,37-41,37,41,6.4,58
Standing Power Throw,Female,37-41,37,41,4.1,58
Standing Power Throw,Male,42-46,42,46,6.2,58
Standing Power Throw,Female,42-46,42,46,3.9,58
Standing Power Throw,Male,47-51,47,51,6.0,58
Standing Power Throw,Female,47-51,47,51,3.7,58
Standing Power Throw,Male,52-56,52,56,5.7,58
Standing Power Throw,Female,52-56,52,56,3.5,58
Standing Power Throw,Male,57-61,57,61,5.3,58
Standing Power Throw,Female,57-61,57,61,3.4,58
Standing Power Throw,Male,Over 62,62,100,4.9,58
Standing Power Throw,Female,Over 62,62,100,3.4,58
Standing Power Throw,Male,17-21,17,21,5.9,57
Standing Power Throw,Female,17-21,17,21,3.9,57
Standing Power Throw,Male,22-26,22,26,6.2,57
Standing Power Throw,Female,22-26,22,26,4.0,57
Standing Power Throw,Male,27-31,27,31,6.4,57
Standing Power Throw,Female,27-31,27,31,4.1,57
Standing Power Throw,Male,32-36,32,36,6.4,57
Standing Power Throw,Female,32-36,32,36,4.1,57
Standing Power Throw,Male,37-41,37,41,6.3,57
Standing Power Throw,Female,37-41,37,41,4.1,57
Standing Power Throw,Male,42-46,42,46,6.1,57
Standing Power Throw,Female,42-46,42,46,3.9,57
Standing Power Throw,Male,47-51,47,51,5.9,57
Standing Power Throw,Female,47-51,47,51,3.7,57
Standing Power Throw,Male,52-56,52,56,5.6,57
Standing Power Throw,Female,52-56,52,56,3.5,57
Standing Power Throw,Male,57-61,57,61,5.3,57
Standing Power Throw,Female,57-61,57,61,3.4,57
Standing Power Throw,Male,Over 62,62,100,4.9,57
Standing Power Throw,Female,Over 62,62,100,3.4,57
Standing Power Throw,Male,17-21,17,21,5.9,56
Standing Power Throw,Female,17-21,17,21,3.9,56
Standing Power Throw,Male,22-26,22,26,6.2,56
Standing Power Throw,Female,22-26,22,26,4.0,56
Standing Power Throw,Male,27-31,27,31,6.4,56
Standing Power Throw,Female,27-31,27,31,4.1,56
Standing Power Throw,Male,32-36,32,36,6.4,56
Standing Power Throw,Female,32-36,32,36,4.1,56
Standing Power Throw,Male,37-41,37,41,6.3,56
Standing Power Throw,Female,37-41,37,41,4.1,56
Standing Power Throw,Male,42-46,42,46,6.1,56
Standing Power Throw,Female,42-46,42,46,3.9,56
Standing Power Throw,Male,47-51,47,51,5.9,56
Standing Power Throw,Female,47-51,47,51,3.7,56
Standing Power Throw,Male,52-56,52,56,5.6,56
Standing Power Throw,Female,52-56,52,56,3.5,56
Standing Power Throw,Male,57-61,57,61,5.3,56
Standing Power Throw,Female,57-61,57,61,3.4,56
Standing Power Throw,Male,Over 62,62,100,4.9,56
Standing Power Throw,Female,Over 62,62,100,3.4,56
Standing Power Throw,Male,17-21,17,21,5.9,55
Standing Power Throw,Female,17-21,17,21,3.9,55
Standing Power Throw,Male,22-26,22,26,6.2,55
Standing Power Throw,Female,22-26,22,26,4.0,55
Standing Power Throw,Male,27-31,27,31,6.4,55
Standing Power Throw,Female,27-31,27,31,4.1,55
Standing Power Throw,Male,32-36,32,36,6.4,55
Standing Power Throw,Female,32-36,32,36,4.1,55
Standing Power Throw,Male,37-41,37,41,6.3,55
Standing Power Throw,Female,37-41,37,41,4.1,55
Standing Power Throw,Male,42-46,42,46,6.1,55
Standing Power Throw,Female,42-46,42,46,3.9,55
Standing Power Throw,Male,47-51,47,51,5.9,55
Standing Power Throw,Female,47-51,47,51,3.7,55
Standing Power Throw,Male,52-56,52,56,5.6,55
Standing Power Throw,Female,52-56,52,56,3.5,55
Standing Power Throw,Male,57-61,57,61,5.3,55
Standing Power Throw,Female,57-61,57,61,3.4,55
Standing Power Throw,Male,Over 62,62,100,4.9,55
Standing Power Throw,Female,Over 62,62,100,3.4,55
Standing Power Throw,Male,17-21,17,21,5.9,54
Standing Power Throw,Female,17-21,17,21,3.8,54
Standing Power Throw,Male,22-26,22,26,6.2,54
Standing Power Throw,Female,22-26,22,26,3.9,54
Standing Power Throw,Male,27-31,27,31,6.4,54
Standing Power Throw,Female,27-31,27,31,4.1,54
Standing Power Throw,Male,32-36,32,36,6.4,54
Standing Power Throw,Female,32-36,32,36,4.0,54
Standing Power Throw,Male,37-41,37,41,6.3,54
Standing Power Throw,Female,37-41,37,41,4.0,54
Standing Power Throw,Male,42-46,42,46,6.1,54
Standing Power Throw,Female,42-46,42,46,3.8,54
Standing Power Throw,Male,47-51,47,51,5.9,54
Standing Power Throw,Female,47-51,47,51,3.6,54
Standing Power Throw,Male,52-56,52,56,5.6,54
Standing Power Throw,Female,52-56,52,56,3.4,54
Standing Power Throw,Male,57-61,57,61,5.2,54
Standing Power Throw,Female,57-61,57,61,3.4,54
Standing Power Throw,Male,Over 62,62,100,4.8,54
Standing Power Throw,Female,Over 62,62,100,3.4,54
Standing Power Throw,Male,17-21,17,21,5.9,53
Standing Power Throw,Female,17-21,17,21,3.8,53
Standing Power Throw,Male,22-26,22,26,6.2,53
Standing Power Throw,Female,22-26,22,26,3.9,53
Standing Power Throw,Male,27-31,27,31,6.4,53
Standing Power Throw,Female,27-31,27,31,4.1,53
Standing Power Throw,Male,32-36,32,36,6.4,53
Standing Power Throw,Female,32-36,32,36,4.0,53
Standing Power Throw,Male,37-41,37,41,6.3,53
Standing Power Throw,Female,37-41,37,41,4.0,53
Standing Power Throw,Male,42-46,42,46,6.1,53
Standing Power Throw,Female,42-46,42,46,3.8,53
Standing Power Throw,Male,47-51,47,51,5.9,53
Standing Power Throw,Female,47-51,47,51,3.6,53
Standing Power Throw,Male,52-56,52,56,5.6,53
Standing Power Throw,Female,52-56,52,56,3.4,53
Standing Power Throw,Male,57-61,57,61,5.2,53
Standing Power Throw,Female,57-61,57,61,3.4,53
Standing Power Throw,Male,Over 62,62,100,4.8,53
Standing Power Throw,Female,Over 62,62,100,3.4,53
Standing Power Throw,Male,17-21,17,21,5.8,52
Standing Power Throw,Female,17-21,17,21,3.8,52
Standing Power Throw,Male,22-26,22,26,6.1,52
Standing Power Throw,Female,22-26,22,26,3.9,52
Standing Power Throw,Male,27-31,27,31,6.3,52
Standing Power Throw,Female,27-31,27,31,4.0,52
Standing Power Throw,Male,32-36,32,36,6.3,52
Standing Power Throw,Female,32-36,32,36,4.0,52
Standing Power Throw,Male,37-41,37,41,6.2,52
Standing Power Throw,Female,37-41,37,41,4.0,52
Standing Power Throw,Male,42-46,42,46,6.0,52
Standing Power Throw,Female,42-46,42,46,3.8,52
Standing Power Throw,Male,47-51,47,51,5.8,52
Standing Power Throw,Female,47-51,47,51,3.6,52
Standing Power Throw,Male,52-56,52,56,5.5,52
Standing Power Throw,Female,52-56,52,56,3.4,52
Standing Power Throw,Male,57-61,57,61,5.2,52
Standing Power Throw,Female,57-61,57,61,3.4,52
Standing Power Throw,Male,Over 62,62,100,4.8,52
Standing Power Throw,Female,Over 62,62,100,3.4,52
Standing Power Throw,Male,17-21,17,21,5.8,51
Standing Power Throw,Female,17-21,17,21,3.8,51
Standing Power Throw,Male,22-26,22,26,6.1,51
Standing Power Throw,Female,22-26,22,26,3.9,51
Standing Power Throw,Male,27-31,27,31,6.3,51
Standing Power Throw,Female,27-31,27,31,4.0,51
Standing Power Throw,Male,32-36,32,36,6.3,51
Standing Power Throw,Female,32-36,32,36,4.0,51
Standing Power Throw,Male,37-41,37,41,6.2,51
Standing Power Throw,Female,37-41,37,41,4.0,51
Standing Power Throw,Male,42-46,42,46,6.0,51
Standing Power Throw,Female,42-46,42,46,3.8,51
Standing Power Throw,Male,47-51,47,51,5.8,51
Standing Power Throw,Female,47-51,47,51,3.6,51
Standing Power Throw,Male,52-56,52,56,5.5,51
Standing Power Throw,Female,52-56,52,56,3.4,51
Standing Power Throw,Male,57-61,57,61,5.2,51
Standing Power Throw,Female,57-61,57,61,3.4,51
Standing Power Throw,Male,Over 62,62,100,4.8,51
Standing Power Throw,Female,Over 62,62,100,3.4,51
Standing Power Throw,Male,17-21,17,21,5.8,50
Standing Power Throw,Female,17-21,17,21,3.8,50
Standing Power Throw,Male,22-26,22,26,6.1,50
Standing Power Throw,Female,22-26,22,26,3.9,50
Standing Power Throw,Male,27-31,27,31,6.3,50
Standing Power Throw,Female,27-31,27,31,4.0,50
Standing Power Throw,Male,32-36,32,36,6.3,50
Standing Power Throw,Female,32-36,32,36,4.0,50
Standing Power Throw,Male,37-41,37,41,6.2,50
Standing Power Throw,Female,37-41,37,41,4.0,50
Standing Power Throw,Male,42-46,42,46,6.0,50
Standing Power Throw,Female,42-46,42,46,3.8,50
Standing Power Throw,Male,47-51,47,51,5.8,50
Standing Power Throw,Female,47-51,47,51,3.6,50
Standing Power Throw,Male,52-56,52,56,5.5,50
Standing Power Throw,Female,52-56,52,56,3.4,50
Standing Power Throw,Male,57-61,57,61,5.2,50
Standing Power Throw,Female,57-61,57,61,3.4,50
Standing Power Throw,Male,Over 62,62,100,4.8,50
Standing Power Throw,Female,Over 62,62,100,3.4,50
Standing Power Throw,Male,17-21,17,21,5.8,49
Standing Power Throw,Female,17-21,17,21,3.8,49
Standing Power Throw,Male,22-26,22,26,6.1,49
Standing Power Throw,Female,22-26,22,26,3.9,49
Standing Power Throw,Male,27-31,27,31,6.3,49
Standing Power Throw,Female,27-31,27,31,4.0,49
Standing Power Throw,Male,32-36,32,36,6.3,49
Standing Power Throw,Female,32-36,32,36,4.0,49
Standing Power Throw,Male,37-41,37,41,6.2,49
Standing Power Throw,Female,37-41,37,41,4.0,49
Standing Power Throw,Male,42-46,42,46,6.0,49
Standing Power Throw,Female,42-46,42,46,3.8,49
Standing Power Throw,Male,47-51,47,51,5.8,49
Standing Power Throw,Female,47-51,47,51,3.6,49
Standing Power Throw,Male,52-56,52,56,5.5,49
Standing Power Throw,Female,52-56,52,56,3.4,49
Standing Power Throw,Male,57-61,57,61,5.2,49
Standing Power Throw,Female,57-61,57,61,3.4,49
Standing Power Throw,Male,Over 62,62,100,4.8,49
Standing Power Throw,Female,Over 62,62,100,3.4,49
Standing Power Throw,Male,17-21,17,21,5.8,48
Standing Power Throw,Female,17-21,17,21,3.8,48
Standing Power Throw,Male,22-26,22,26,6.1,48
Standing Power Throw,Female,22-26,22,26,3.9,48
Standing Power Throw,Male,27-31,27,31,6.2,48
Standing Power Throw,Female,27-31,27,31,4.0,48
Standing Power Throw,Male,32-36,32,36,6.3,48
Standing Power Throw,Female,32-36,32,36,4.0,48
Standing Power Throw,Male,37-41,37,41,6.2,48
Standing Power Throw,Female,37-41,37,41,4.0,48
Standing Power Throw,Male,42-46,42,46,6.0,48
Standing Power Throw,Female,42-46,42,46,3.8,48
Standing Power Throw,Male,47-51,47,51,5.8,48
Standing Power Throw,Female,47-51,47,51,3.6,48
Standing Power Throw,Male,52-56,52,56,5.5,48
Standing Power Throw,Female,52-56,52,56,3.4,48
